count;concept;node1;node2;node3
3756140;the_commission;which_the_commission;commission;eu_commission
2915762;member_states;members_states;eu_member_states;national_authorities
1031485;member_state;mem_ber_state;that_member_state;contracting_party
986303;this_regulation;present_regulation;that_directive;said_regulation
948583;european_union;union;european_community;eu
918026;european_communities;european_communites;european_communties;european_comunities
866447;european_parliament;eu_parliament;parliament;european_parliament_president
790679;european_commission;eu_commission;the_commission;european_commissions
685816;official_journal;officiai_journal;ficial_journal;offical_journal
666079;having_regard;haying_regard;pursuant;annexed
631832;et_al;anderson_et_al;johnson_et_al;hall_et_al
612391;council_regulation;commission_regulation;regulation;council_regulations
586814;united_kingdom;ireland;denmark;netherlands
551151;the_court;european_court;general_court;ecj
445957;commission_regulation;council_regulation;regulation;commission_regulations
300869;third_countries;non-member_countries;non-community_countries;third_country
300607;european_community;community;european_union;european_economic_community
296704;per_cent;one_third;half;one_fifth
278471;council_directive;directive;council_directives;community_measures_council_directive
265659;united_states;usa;unites_states;japan
261808;czech_republic;slovakia;hungary;poland
245622;competent_authorities;competent_authority;competent_national_authorities;relevant_authorities
243791;young_people;youngsters;people;unemployed_people
239355;all_the;all;all_these;numerous
226165;eu_member_states;eu_countries;european_member_states;european_union_member_states
223674;on_behalf;behalf;member;representatives
213376;euro_area;euro-zone;euro_area_countries;periphery_countries
212702;labour_market;job_market;labour_markets;employment_market
208922;competent_authority;competent_authorities;relevant_authority;competent_body
204068;european_economic_community;european_community;european_economio_community;european_coal_and_steel_community
203950;particular_article;particular_articles;particular_to_article;particular_the_third_subparagraph
192602;which_it;which_the_commission;which_he;which
182293;climate_change;global_climate_change;global_warming;climate_change_impacts
177159;commission_decision;council_decision;council_directive;commission_decisions
167851;council_decision;council_decision_no;commission_decision;council_decisions
165702;human_rights;children_s_rights;fundamental_rights;minority_rights
158990;internal_market;single_market;european_internal_market;ternal_market
149492;final_report;draft_final_report;summary_report;interim_report
147097;mr_president;madam_president;mr_commissioner;gentlemen
146355;third_country;non-member_country;third_countries;member_state
137747;national_level;member_state_level;regional_level;eu_level
134185;take_place;occur;happen;commence
132831;perceptual_black_point_compensation;relative_colorimetric_black_point_compensation;independent_rgb/lab_image;independent_cmyk/gray_graphic
131087;developing_countries;acp_countries;ldcs;developing_world
130507;higher_education;education;higher_education_institutions;tertiary_education
129400;annual_report;annual_reports;activity_report;report
127979;detailed_rules;special_detailed_rules;specific_detailed_rules;general_rules
126052;two_years;three_years;four_years;five_years
122656;sustainable_development;environmental_sustainability;sustainability;sustainable_development_sustainable_development
120118;high_level;high_degree;high_levels;low_level
118198;the_act;act_no;law_no;law
117843;vocational_training;occupational_training;continuing_training;professional_training
116811;five_years;three_years;four_years;two_years
116242;recent_years;recent_times;recent_past;1990s
115632;eu_level;european_level;national_level;member_state_level
114995;three_years;five_years;two_years;four_years
114380;education_and;education;education_and_training;higher_education
112595;european_council;european_council_meeting;brussels_european_council;european_councils
111819;agricultural_products;industrial_products;agricultural_goods;farm_products
109599;total_number;overall_number;number;average_number
108950;take_account;reflect;taking_account;have_regard
108844;one_hand;hand;one_side;one_hand_side
108717;private_sector;public_sector;business_sector;private_sectors
107643;implementing_regulation;implementing_decision;delegated_regulation;commission_regulation
106938;national_law;national_legislation;domestic_law;national_laws
104242;wide_range;broad_range;wide_variety;diverse_range
103129;social_partners;trade_unions;social_dialogue;european_social_partners
102117;goods_and_services;goods/services;goods;services
99716;state_aid;state_aids;regional_aid;rescue_and_restructuring_aid
98548;personal_data;personal_information;sensitive_data;operational_personal_data
96228;energy_efficiency;energy_saving;renewable_energy;end-use_energy_efficiency
95080;policy_makers;decision-makers;practitioners;european_policy_makers
94986;action_plan;strategy;roadmap;eu_strategy
94372;public_sector;private_sector;state_sector;business_sector
92836;gender_equality;gender_mainstreaming;equal_opportunities;equality
92064;education_and_training;education;lifelong_learning;higher_education
91880;risk_assessment;risk_assessments;hazard_assessment;risk_evaluation
91374;one_year;two_years;six_months;three_years
90455;first_subparagraph;second_subparagraph;third_subparagraph;first_paragraph
90324;european_countries;eu_countries;european_member_states;eu_member_states
89615;large_number;great_number;considerable_number;high_number
89264;per_capita;per_capita_gdp;per_capita_income;gdp/capita
89104;single_market;internal_market;single_european_market;european_single_market
89042;ex-works_price;ex-work_price;ex-worb_price;finished_product_manufacture
88891;natural_gas;electricity;oil_products;gas
88654;common_organization;common_organisation;new_common_organization;common_organizations
88536;inter_alia;particular;particular_the;notably
88350;economic_growth;growth;long-term_economic_growth;long-term_growth
88324;european_level;eu_level;national_level;european_union_level
88206;see_table;see_tables;see_figure;see_also_table
87044;rendering_intent;icm_rendering_intent;false_default;icc_rendering_intent
86677;percentage_points;percentage_point;one_percentage_point;per_cent
86389;see_section;see_chapter;see_also_section;see_sections
85819;public_health;health;health_and;consumer_health
84983;case_studies;cases_studies;regional_case_studies;in-depth_case_studies
84400;environmental_protection;environment_protection;pollution_control;waste_management
84273;six_months;three_months;four_months;two_years
84227;public_authorities;public_bodies;local_authorities;public_administrations
83321;eu_countries;eu_member_states;european_countries;countries
82869;further_information;additional_information;further_details;specific_information
82513;all_the_materials;all_the_chicory;all_the_tomatoes;all_the_olives
82300;federal_republic;former_federal_republic;federai_republic;german_federal_republic
