count;concept;node1;node2;node3
191240153;the;of;to;in
122830575;of;the;and;in
77363079;and;of;the;in
75200080;in;the;of;to
68101340;to;the;which;that
58725416;a;the;of;to
35952311;for;and;of;the
26944275;is;was;the;that
24632504;on;the;of;in
21267491;be;is;the;that
19108353;by;the;in;of
18162980;as;in;the;is
16967408;with;in;and;the
16896686;that;which;the;it
15907399;or;in;not;which
14752638;e;d;m;n
14747485;are;were;is;have
13746404;s;its;a;it
12245248;this;also;which;that
12213580;i;we;ii;b
11466766;from;that;as;the
11317972;at;in;the;on
10621284;it;that;the;is
10459388;an;a;is;to
10230821;not;that;which;in
9654519;l;r;d;o
9426448;c;b;f;g
8876383;which;that;the;to
8788442;no;not;regulation;any
8691114;t;h;m;g
7888560;m;n;d;e
7832540;r;w;d;l
7452207;n;m;e;o
7430057;d;o;m;e
6962615;p;l;t;r
6870337;have;has;had;that
6807317;o;d;n;e
6749291;other;such;or;but
6527760;b;c;f;d
6376230;has;have;had;is
6167322;was;is;were;had
6023213;-;kg809646inside;termo_relacionado;adaptabilite
5827240;shall;shau;should;must
5731545;article;regulation;second_subparagraph;first_paragraph
5045287;de;et;la;fr
4788244;their;its;they;them
4785439;will;can;could;would
4716920;been;was;had;has
4656692;can;could;may;will
4639082;more;less;than;most
4615930;may;can;could;should
4614979;also;both;only;that
4614582;g;h;e;f
4598671;en;et;ou;de
4558563;f;g;h;t
4426031;all;both;also;only
4403940;its;their;the;that
4281515;these;they;such;some
4068532;than;less;more;but
4051526;between;both;with;from
4040660;were;was;are;had
3893507;such;also;which;well
3785478;should;must;would;could
3756140;the_commission;which_the_commission;that;the
3629765;h;j;g;k
3367081;if;where;when;because
3319121;under;within;which;to
3252001;they;those;these;their
3250669;but;however;although;because
3213035;there;however;but;some
3054064;only;also;but;however
3015970;used;use;using;applied
3001380;where;if;when;which
2988526;eu;europe;european_union;union
2915762;member_states;members_states;member_sates;member_slates
2765914;j;h;jj;k
2752992;any;if;not;that
2751374;out;carried;set;those
2747750;u;o;n;m
2736560;x;efcu/100;xo;jx
2624322;one;two;three;some
2572793;we;ourselves;our;they
2571456;link;html;www;aspx
2561795;within;under;in;which
2445873;some;many;most;two
2436849;would;could;might;should
2436327;ec;regulation;eec;article
2412514;v;case;ii;commission
2370178;use;using;used;such
2256227;up;out;about;but
2253514;regulation;regulation_no;article;commission_regulation
2193651;those;they;these;them
2177432;each;every;eaoh;one
2152018;when;if;where;because
2146654;must;should;cannot;ought
2135605;oj;ojl;0j;corrigendum_oj
2099737;however;although;therefore;moreover
2072090;information;data;ofinformation;detailed_information
2002507;k;h;j;f
1999991;two;three;four;one
1989365;y;u;e;n
1984192;annex;annexes;m1_annex;m2_annex
1937517;most;some;particularly;many
1917415;including;cluding;includ;well
1899252;eur;million;billion;eur_eur
1897251;case;v;see_case;paragraph
1879028;over;during;around;while
1875577;number;many;total_number;some
1841372;data;information;detailed_data;national_data
1833016;through;via;using;including
1830816;w;r;o;d
1808988;et;ou;pour;et_des
1795993;so;therefore;because;if
1787610;during;after;before;when
1784888;based;basis;using;predicated
1782563;made;make;making;however
1767056;available;avail;availa;availabe
1760078;figure;table;fig;shows
1758112;provided;provide;providing;provides
1748981;table;figure;tables;section
1739647;order;to;therefore;should
1731098;both;also;all;well
1714259;per;gulf_office_assoc;annum;sulle_pubblicazioni_rivolgersi_alleurostat
