base URI,prefix
http://publications.europa.eu/resource/authority/concept-status/,ns1
http://publications.europa.eu/resource/authority/label-type/,ns2
http://publications.europa.eu/resource/authority/grammatical-gender/,ns3
http://publications.europa.eu/resource/authority/use-context/,ns4
http://publications.europa.eu/resource/authority/grammatical-number/,ns5
http://publications.europa.eu/resource/authority/script/,ns6
http://publications.europa.eu/resource/authority/address-type/,ns7
unknown_namespace,ns8
http://publications.europa.eu/resource/authority/role/,ns9
http://eurovoc.europa.eu/,ns10
http://publications.europa.eu/resource/authority/continent/,ns11
http://publications.europa.eu/resource/authority/capital-classification/,ns12
http://id.loc.gov/vocabulary/iso639-1/,ns13
http://publications.europa.eu/resource/authority/treaty/,ns14
http://publications.europa.eu/ontology/,ns15
http://publications.europa.eu/resource/authority/correction-status/,ns16
