ns_s,ns_o,count
at-base,skos,8
cob,at-base,1511
cob,cob,2502
cob,skos,1511
cob-clas,at-base,48
cob-clas,cob-clas,102
cob-clas,euvoc,14
cob-clas,notation-type,14
cob-clas,skos,46
country,at-base,284
country,country,52
country,skos,284
currency,at-base,578
currency,currency,468
currency,euvoc,468
currency,notation-type,468
currency,skos,289
language,at-base,8179
language,skos,8179
membership-clas,at-base,16
membership-clas,cob,4
membership-clas,skos,8
place,at-base,8726
place,euvoc,10615
place,notation-type,10615
place,place,10615
place,skos,4363
site,at-base,404
site,skos,404
