ns_s,ns_p,p,ns_o,asset_type_s,asset_type_p,asset_type_o,count
cob,euvoc,euvoc:status,ns1,at,ontology,unknown,65733
cob,rdf,rdf:type,skoxl,at,language,language,59401
cob,dct,dct:type,ns2,at,ontology,unknown,59401
place,euvoc,euvoc:status,ns1,at,ontology,unknown,53388
country,euvoc,euvoc:status,ns1,at,ontology,unknown,39018
place,rdf,rdf:type,skoxl,at,language,language,38410
place,dct,dct:type,ns2,at,ontology,unknown,38409
country,rdf,rdf:type,skoxl,at,language,language,37421
cob,skoxl,skoxl:prefLabel,cob,at,language,at,34859
language,euvoc,euvoc:status,ns1,at,ontology,unknown,34453
country,dct,dct:type,ns2,at,ontology,unknown,34193
place,skoxl,skoxl:prefLabel,place,at,language,at,32762
language,dct,dct:type,ns2,at,ontology,unknown,25769
language,rdf,rdf:type,skoxl,at,language,language,25769
cob,skoxl,skoxl:altLabel,cob,at,language,at,24542
country,skoxl,skoxl:altLabel,country,at,language,at,24308
place,rdf,rdf:type,euvoc,at,language,ontology,22468
language,rdf,rdf:type,euvoc,at,language,ontology,18470
language,skoxl,skoxl:prefLabel,language,at,language,at,17126
currency,euvoc,euvoc:status,ns1,at,ontology,unknown,15439
currency,rdf,rdf:type,skoxl,at,language,language,14682
currency,dct,dct:type,ns2,at,ontology,unknown,14682
country,lexinfo,lexinfo:gender,ns3,at,ontology,unknown,11708
country,lemon,lemon:context,ns4,at,lexicon model,unknown,11281
place,lemon,lemon:context,ns4,at,lexicon model,unknown,11123
place,euvoc,euvoc:xlNotation,place,at,ontology,at,10615
place,dct,dct:type,notation-type,at,ontology,at,10615
country,skoxl,skoxl:prefLabel,country,at,language,at,9885
language,dct,dct:type,notation-type,at,ontology,at,9767
language,euvoc,euvoc:xlNotation,language,at,ontology,at,9767
language,rdf,rdf:type,at-ont,at,language,ontology,9767
language,at-ont,at-ont:op-mapped-code,language,at,ontology,at,9767
language,skoxl,skoxl:altLabel,language,at,language,at,8643
language,skos,skos:inScheme,at-base,at,ontology,at,8178
language,skos,skos:topConceptOf,at-base,at,ontology,at,8178
language,dct,dct:type,membership-clas,at,ontology,at,8178
language,rdf,rdf:type,skos,at,language,ontology,8178
place,dct,dct:type,membership-clas,at,ontology,at,8057
currency,skoxl,skoxl:altLabel,currency,at,language,at,7957
place,euvoc,euvoc:xlDefinition,place,at,ontology,at,7430
cob,rdf,rdf:type,euvoc,at,language,ontology,7136
currency,skoxl,skoxl:prefLabel,currency,at,language,at,6724
place,skoxl,skoxl:altLabel,place,at,language,at,5647
cob,lemon,lemon:context,ns4,at,lexicon model,unknown,5029
cob,euvoc,euvoc:xlNotation,cob,at,ontology,at,4826
cob,dct,dct:type,notation-type,at,ontology,at,4826
place,rdf,rdf:type,skos,at,language,ontology,4363
