source,target,count
at-base,rdf,8
at-base,skos,8
cob,at-base,1511
cob,at-ont,5020
cob,cob,5012
cob,rdf,4021
cob,skos,5524
cob-clas,at-base,48
cob-clas,at-ont,26
cob-clas,cob-clas,115
cob-clas,dct,14
cob-clas,euvoc,14
cob-clas,notation-type,14
cob-clas,rdf,73
cob-clas,skos,196
country,at-base,284
country,at-ont,2456
country,country,1280
country,rdf,1512
country,skos,620
currency,at-base,578
currency,currency,468
currency,dct,468
currency,euvoc,468
currency,notation-type,468
currency,rdf,757
currency,skos,1335
language,at-base,8179
language,at-ont,19534
language,language,9767
language,rdf,17946
language,skos,16358
membership-clas,at-base,16
membership-clas,cob,4
membership-clas,rdf,8
membership-clas,skos,28
place,at-base,8726
place,at-ont,1394
place,dct,10615
place,euvoc,10615
place,notation-type,10615
place,place,11312
place,rdf,15675
place,skos,23704
site,at-base,404
site,at-ont,1442
site,rdf,1125
site,site,721
site,skos,808
