Property,Corporate Body Classification,Corporate Body,Country,Currencies,Languages,Membership,Places,Sites
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Used,Used,Used,Used,Used,Used,Used,Used
http://publications.europa.eu/ontology/authority/legacy-code,Used,Used,Used,Not used,Used,Not used,Used,Used
http://purl.org/dc/elements/1.1/source,Used,Used,Used,Not used,Used,Not used,Used,Used
http://purl.org/dc/terms/dateSubmitted,Used,Used,Used,Used,Used,Used,Used,Used
http://www.w3.org/2004/02/skos/core#topConceptOf,Used,Used,Used,Used,Used,Used,Used,Used
http://publications.europa.eu/ontology/euvoc#startDate,Used,Used,Used,Used,Used,Used,Used,Used
http://lemon-model.net/lemon#context,Used,Used,Used,Used,Used,Not used,Used,Used
http://publications.europa.eu/ontology/euvoc#xlNotation,Used,Used,Used,Used,Used,Not used,Used,Used
http://purl.org/dc/elements/1.1/identifier,Used,Used,Used,Used,Used,Used,Used,Used
http://www.w3.org/2004/02/skos/core#narrower,Used,Used,Not used,Not used,Not used,Not used,Not used,Not used
http://www.w3.org/2002/07/owl#versionInfo,Used,Used,Used,Used,Used,Used,Used,Used
http://purl.org/dc/terms/dateAccepted,Used,Used,Used,Used,Used,Used,Used,Used
http://publications.europa.eu/ontology/authority/start.use,Used,Used,Used,Used,Used,Used,Used,Used
http://www.w3.org/2004/02/skos/core#altLabel,Used,Used,Not used,Used,Not used,Used,Used,Not used
http://purl.org/dc/terms/modified,Used,Not used,Not used,Used,Not used,Used,Used,Not used
http://www.w3.org/2008/05/skos-xl#altLabel,Used,Used,Used,Used,Used,Used,Used,Used
http://publications.europa.eu/ontology/authority/op-mapped-code,Used,Used,Used,Not used,Used,Not used,Used,Used
http://publications.europa.eu/ontology/authority/authority-code,Used,Used,Used,Used,Used,Used,Used,Used
http://www.w3.org/2004/02/skos/core#inScheme,Used,Used,Used,Used,Used,Used,Used,Used
http://publications.europa.eu/ontology/euvoc#status,Used,Used,Used,Used,Used,Used,Used,Used
http://www.w3.org/2004/02/skos/core#prefLabel,Used,Used,Used,Used,Used,Used,Used,Used
http://publications.europa.eu/resource/authority/op-code,Used,Used,Used,Used,Used,Used,Used,Used
http://publications.europa.eu/ontology/authority/deprecated,Used,Used,Used,Used,Used,Used,Used,Used
http://publications.europa.eu/ontology/authority/op-code,Used,Used,Used,Used,Used,Used,Used,Used
http://www.w3.org/2004/02/skos/core#notation,Used,Used,Used,Used,Used,Not used,Used,Used
http://www.w3.org/2004/02/skos/core#broader,Used,Used,Used,Not used,Not used,Not used,Not used,Not used
http://www.w3.org/2004/02/skos/core#definition,Used,Used,Used,Used,Used,Used,Used,Not used
http://www.w3.org/2008/05/skos-xl#prefLabel,Used,Used,Used,Used,Used,Used,Used,Used
http://purl.org/dc/terms/created,Used,Used,Used,Used,Used,Used,Used,Used
http://publications.europa.eu/ontology/euvoc#xlDefinition,Used,Used,Used,Used,Used,Used,Used,Not used
http://purl.org/dc/terms/type,Used,Used,Used,Used,Used,Used,Used,Used
http://publications.europa.eu/ontology/euvoc#xlCodification,Used,Used,Used,Used,Used,Not used,Used,Used
http://purl.org/dc/terms/creator,Used,Not used,Not used,Used,Not used,Used,Used,Not used
http://purl.org/dc/terms/source,Used,Used,Used,Used,Used,Used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#xlNote,Used,Used,Used,Used,Used,Used,Used,Used
http://www.w3.org/2002/07/owl#imports,Used,Used,Used,Used,Used,Used,Used,Used
http://purl.org/dc/terms/title,Used,Used,Used,Used,Used,Used,Used,Used
http://www.w3.org/2000/01/rdf-schema#comment,Used,Used,Used,Used,Used,Used,Used,Used
http://publications.europa.eu/ontology/authority/table.version.number,Used,Used,Used,Used,Used,Used,Used,Used
http://www.w3.org/2000/01/rdf-schema#label,Used,Used,Used,Used,Used,Used,Used,Used
http://purl.org/dc/terms/identifier,Used,Used,Used,Used,Used,Used,Used,Used
http://publications.europa.eu/ontology/authority/table.id,Used,Used,Used,Used,Used,Used,Used,Used
http://publications.europa.eu/ontology/authority/prefLabel,Used,Used,Used,Used,Used,Used,Used,Used
http://www.w3.org/2002/07/owl#versionIRI,Used,Used,Used,Used,Used,Used,Used,Used
http://lexvo.org/ontology#script,Used,Not used,Not used,Used,Not used,Used,Used,Not used
http://www.lexinfo.net/ontology/2.0/lexinfo#number,Used,Not used,Used,Used,Not used,Not used,Not used,Not used
http://www.w3.org/2008/05/skos-xl#literalForm,Used,Used,Used,Used,Used,Used,Used,Used
http://publications.europa.eu/ontology/authority/affected-table,Not used,Used,Used,Not used,Used,Not used,Used,Not used
http://www.w3.org/2006/vcard/ns#hasEmail,Not used,Used,Not used,Not used,Not used,Not used,Not used,Used
http://publications.europa.eu/ontology/authority/protocol.order,Not used,Used,Used,Not used,Used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#xlHistoryNote,Not used,Used,Used,Used,Used,Not used,Used,Used
http://purl.org/dc/terms/isReplacedBy,Not used,Used,Used,Used,Used,Not used,Used,Used
http://www.w3.org/2004/02/skos/core#editorialNote,Not used,Used,Used,Not used,Not used,Not used,Not used,Used
http://www.w3.org/ns/org#classification,Not used,Used,Not used,Not used,Not used,Not used,Not used,Not used
http://xmlns.com/foaf/0.1/homepage,Not used,Used,Not used,Not used,Not used,Not used,Not used,Not used
http://www.w3.org/2004/02/skos/core#historyNote,Not used,Used,Used,Used,Used,Not used,Used,Used
http://publications.europa.eu/ontology/authority/end.use,Not used,Used,Used,Used,Used,Not used,Used,Used
http://www.w3.org/2003/01/geo/wgs84_pos#location,Not used,Used,Not used,Not used,Not used,Not used,Used,Not used
http://publications.europa.eu/ontology/euvoc#endDate,Not used,Used,Used,Used,Used,Not used,Used,Used
http://publications.europa.eu/ontology/authority/protocol-order,Not used,Used,Used,Not used,Used,Not used,Not used,Not used
http://publications.europa.eu/ontology/authority/MappedCode,Not used,Used,Not used,Not used,Not used,Not used,Not used,Not used
http://www.w3.org/2004/02/skos/core#exactMatch,Not used,Used,Not used,Not used,Used,Used,Not used,Not used
http://purl.org/dc/terms/replaces,Not used,Used,Used,Used,Not used,Not used,Used,Used
http://publications.europa.eu/ontology/euvoc#xlClassification,Not used,Used,Not used,Not used,Not used,Not used,Not used,Not used
http://www.w3.org/2006/vcard/ns#hasTelephone,Not used,Used,Not used,Not used,Not used,Not used,Not used,Used
http://publications.europa.eu/ontology/euvoc#legallyBasedOnTreaty,Not used,Used,Used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#order,Not used,Used,Used,Not used,Used,Not used,Not used,Not used
http://www.lexinfo.net/ontology/2.0/lexinfo#gender,Not used,Used,Used,Used,Not used,Used,Not used,Not used
http://www.w3.org/2004/02/skos/core#hiddenLabel,Not used,Not used,Used,Not used,Not used,Not used,Not used,Not used
http://www.w3.org/2008/05/skos-xl#hiddenLabel,Not used,Not used,Used,Not used,Not used,Not used,Not used,Not used
http://www.opengis.net/ont/geosparql#sfWithin,Not used,Not used,Used,Used,Not used,Not used,Used,Not used
http://www.w3.org/1999/02/22-rdf-syntax-ns#value,Not used,Not used,Used,Not used,Used,Not used,Not used,Used
http://www.w3.org/ns/org#hasMembership,Not used,Not used,Used,Not used,Not used,Not used,Not used,Not used
http://purl.org/dc/terms/language,Not used,Not used,Used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#euroCurrencyAdoptionDate,Not used,Not used,Used,Not used,Not used,Not used,Not used,Not used
http://www.w3.org/ns/org#role,Not used,Not used,Used,Not used,Not used,Not used,Used,Not used
http://www.w3.org/ns/org#organization,Not used,Not used,Used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#exitDate,Not used,Not used,Used,Not used,Not used,Not used,Not used,Not used
http://www.w3.org/ns/org#member,Not used,Not used,Used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#entryDate,Not used,Not used,Used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#decimalPlace,Not used,Not used,Not used,Used,Not used,Not used,Not used,Not used
http://www.w3.org/2002/07/owl#deprecated,Not used,Not used,Not used,Not used,Used,Not used,Not used,Not used
http://www.w3.org/2004/02/skos/core#changeNote,Not used,Not used,Not used,Not used,Not used,Not used,Used,Not used
http://publications.europa.eu/ontology/euvoc#culturalCity,Not used,Not used,Not used,Not used,Not used,Not used,Used,Not used
http://publications.europa.eu/ontology/euvoc#xlChangeNote,Not used,Not used,Not used,Not used,Not used,Not used,Used,Not used
http://www.w3.org/2003/01/geo/wgs84_pos#lat,Not used,Not used,Not used,Not used,Not used,Not used,Used,Not used
http://www.w3.org/2003/01/geo/wgs84_pos#long,Not used,Not used,Not used,Not used,Not used,Not used,Used,Not used
http://publications.europa.eu/ontology/euvoc#countryCode,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Used
http://www.w3.org/ns/org#siteOf,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Used
http://publications.europa.eu/ontology/euvoc#managedBy,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Used
http://publications.europa.eu/ontology/euvoc#localityCode,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Used
http://www.w3.org/2006/vcard/ns#fn,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Used
http://www.w3.org/2006/vcard/ns#hasAddress,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Used
http://www.w3.org/2006/vcard/ns#post-office-box,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Used
http://www.w3.org/2006/vcard/ns#postal-code,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Used
http://www.w3.org/2006/vcard/ns#street-address,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Used
http://www.w3.org/2006/vcard/ns#locality,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Used
