Class,Property,Corporate Body Classification,Corporate Body,Country,Currencies,Languages,Membership,Places,Sites
http://publications.europa.eu/ontology/authority/MappedCode,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Usage: 13 out of 13,Usage: 1985 out of 1985,Usage: 1224 out of 1224,Not used,Usage: 9767 out of 9767,Not used,Usage: 697 out of 697,Usage: 721 out of 721
http://publications.europa.eu/ontology/authority/MappedCode,http://publications.europa.eu/ontology/authority/legacy-code,Usage: 13 out of 13,Usage: 1985 out of 1985,Usage: 1224 out of 1224,Not used,Usage: 9767 out of 9767,Not used,Usage: 697 out of 697,Usage: 721 out of 721
http://publications.europa.eu/ontology/authority/MappedCode,http://purl.org/dc/elements/1.1/source,Usage: 13 out of 13,Usage: 1985 out of 1985,Usage: 1224 out of 1224,Not used,Usage: 9767 out of 9767,Not used,Usage: 697 out of 697,Usage: 721 out of 721
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://purl.org/dc/terms/dateSubmitted,Usage: 44 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#topConceptOf,Usage: 2 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/euvoc#startDate,Usage: 46 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://lemon-model.net/lemon#context,Usage: 45 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/euvoc#xlNotation,Usage: 14 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://purl.org/dc/elements/1.1/identifier,Usage: 46 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#narrower,Usage: 8 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2002/07/owl#versionInfo,Usage: 46 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://purl.org/dc/terms/dateAccepted,Usage: 44 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/authority/start.use,Usage: 46 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#altLabel,Usage: 45 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Usage: 46 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://purl.org/dc/terms/modified,Usage: 8 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2008/05/skos-xl#altLabel,Usage: 45 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/authority/op-mapped-code,Usage: 13 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/authority/authority-code,Usage: 46 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#inScheme,Usage: 46 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/euvoc#status,Usage: 46 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#prefLabel,Usage: 46 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/resource/authority/op-code,Usage: 46 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/authority/deprecated,Usage: 46 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/authority/op-code,Usage: 46 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#notation,Usage: 14 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#broader,Usage: 44 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#definition,Usage: 33 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2008/05/skos-xl#prefLabel,Usage: 46 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://purl.org/dc/terms/created,Usage: 46 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/euvoc#xlDefinition,Usage: 33 out of 46,Not used,Not used,Not used,Not used,Not used,Not used,Not used
http://publications.europa.eu/ontology/euvoc#XlNotation,http://purl.org/dc/terms/modified,Usage: 1 out of 14,Not used,Not used,Not used,Not used,Not used,Usage: 5 out of 10440,Not used
