subject_class,property,subject_count,class_instance_count,object_count,min,max,avg,property_types,object_types
http://publications.europa.eu/ontology/authority/MappedCode,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,13,13,1,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/authority/MappedCode,http://publications.europa.eu/ontology/authority/legacy-code,13,13,13,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/authority/MappedCode,http://purl.org/dc/elements/1.1/source,13,13,1,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://purl.org/dc/terms/dateSubmitted,44,46,6,0,1,0.956522,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#topConceptOf,2,46,1,0,1,0.043478,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/euvoc#startDate,46,46,21,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://lemon-model.net/lemon#context,45,46,2,0,2,1.043478,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/euvoc#xlNotation,14,46,14,0,1,0.304348,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://purl.org/dc/elements/1.1/identifier,46,46,46,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#narrower,8,46,44,0,27,0.956522,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2002/07/owl#versionInfo,46,46,1,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://purl.org/dc/terms/dateAccepted,44,46,6,0,1,0.956522,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/authority/start.use,46,46,21,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#altLabel,45,46,1165,0,48,25.3913,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,46,46,2,2,2,2,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://purl.org/dc/terms/modified,8,46,3,0,1,0.173913,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2008/05/skos-xl#altLabel,45,46,1170,0,48,25.43478,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/authority/op-mapped-code,13,46,13,0,1,0.282609,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/authority/authority-code,46,46,46,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#inScheme,46,46,1,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/euvoc#status,46,46,1,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#prefLabel,46,46,1102,24,24,24,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/resource/authority/op-code,46,46,46,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/authority/deprecated,46,46,1,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/authority/op-code,46,46,46,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#notation,14,46,14,0,1,0.304348,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#broader,44,46,8,0,1,0.956522,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#definition,33,46,33,0,1,0.717391,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2008/05/skos-xl#prefLabel,46,46,1104,24,24,24,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://purl.org/dc/terms/created,46,46,9,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/euvoc#xlDefinition,33,46,33,0,1,0.717391,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#XlNotation,http://purl.org/dc/terms/modified,1,14,1,0,1,0.071429,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#XlNotation,http://purl.org/dc/terms/type,14,14,1,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
