subject_class,property,subject_count,class_instance_count,object_count,min,max,avg,property_types,object_types
http://publications.europa.eu/ontology/authority/MappedCode,http://publications.europa.eu/ontology/authority/legacy-code,1224,1224,443,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/authority/MappedCode,http://publications.europa.eu/ontology/authority/affected-table,724,1224,13,0,1,0.591503,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/authority/MappedCode,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1224,1224,1,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/authority/MappedCode,http://purl.org/dc/elements/1.1/source,1224,1224,5,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/2004/02/skos/core#inScheme,284,284,1,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/2004/02/skos/core#editorialNote,270,284,587,0,5,2.982394,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/2004/02/skos/core#hiddenLabel,270,284,3178,0,56,11.3662,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://lemon-model.net/lemon#context,284,284,20,1,16,9.514085,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/authority/op-mapped-code,257,284,1224,0,17,4.309859,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/euvoc#status,284,284,3,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/2008/05/skos-xl#hiddenLabel,270,284,3228,0,56,11.3662,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/authority/deprecated,283,284,2,0,1,0.996479,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/2004/02/skos/core#prefLabel,284,284,9833,24,43,34.80634,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/authority/end.use,31,284,27,0,1,0.109155,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/euvoc#legallyBasedOnTreaty,37,284,9,0,1,0.130282,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://purl.org/dc/terms/isReplacedBy,22,284,33,0,4,0.119718,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/euvoc#xlDefinition,2,284,3,0,2,0.010563,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/2004/02/skos/core#historyNote,45,284,89,0,6,0.338028,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/euvoc#order,27,284,27,0,1,0.09507,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://purl.org/dc/terms/replaces,33,284,22,0,2,0.119718,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,284,284,2,2,2,2,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/euvoc#startDate,283,284,147,0,1,0.996479,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://purl.org/dc/elements/1.1/identifier,284,284,284,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/authority/protocol-order,27,284,27,0,1,0.09507,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/2004/02/skos/core#broader,52,284,9,0,1,0.183099,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/authority/authority-code,283,284,283,0,1,0.996479,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://purl.org/dc/terms/created,284,284,10,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/2004/02/skos/core#notation,251,284,1457,0,18,5.130282,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.opengis.net/ont/geosparql#sfWithin,283,284,7,0,2,1.021127,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://purl.org/dc/terms/dateAccepted,281,284,7,0,1,0.989437,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/2002/07/owl#versionInfo,284,284,1,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/euvoc#xlNotation,282,284,3083,0,35,10.85563,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,270,284,490,0,5,2.978873,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/euvoc#xlHistoryNote,45,284,96,0,6,0.338028,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://purl.org/dc/terms/type,284,284,8,1,5,1.40493,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/euvoc#endDate,31,284,27,0,1,0.109155,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/2004/02/skos/core#definition,2,284,2,0,1,0.007042,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/2008/05/skos-xl#altLabel,283,284,24308,0,248,85.59155,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/ns/org#hasMembership,50,284,313,0,11,1.102113,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/2004/02/skos/core#topConceptOf,232,284,1,0,1,0.816901,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://www.w3.org/2008/05/skos-xl#prefLabel,284,284,9885,24,43,34.80634,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://purl.org/dc/terms/language,283,284,165,0,36,1.605634,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://purl.org/dc/terms/dateSubmitted,281,284,7,0,1,0.989437,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/authority/start.use,283,284,147,0,1,0.996479,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/resource/authority/op-code,284,284,284,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/authority/protocol.order,27,284,27,0,1,0.09507,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/euvoc#euroCurrencyAdoptionDate,35,284,11,0,1,0.123239,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Country,http://publications.europa.eu/ontology/authority/op-code,284,284,284,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#XlNotation,http://publications.europa.eu/ontology/euvoc#startDate,1313,3083,165,0,1,0.425884,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#XlNotation,http://publications.europa.eu/ontology/euvoc#xlCodification,3083,3083,1260,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#XlNotation,http://purl.org/dc/terms/type,3083,3083,23,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#XlNotation,http://publications.europa.eu/ontology/euvoc#status,1313,3083,2,0,1,0.425884,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#XlNotation,http://purl.org/dc/terms/created,1313,3083,10,0,1,0.425884,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#XlNotation,http://publications.europa.eu/ontology/euvoc#endDate,104,3083,27,0,1,0.033733,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#XlNotation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3083,3083,1,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#XlNote,http://publications.europa.eu/ontology/euvoc#startDate,3,99,1,0,1,0.030303,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#XlNote,http://publications.europa.eu/ontology/euvoc#xlNote,99,99,92,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#XlNote,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,99,99,1,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#XlNote,http://purl.org/dc/terms/created,96,99,42,0,1,0.969697,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#XlNote,http://purl.org/dc/terms/source,3,99,1,0,1,0.030303,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2002/07/owl#Ontology,http://www.w3.org/2008/05/skos-xl#prefLabel,1,1,1,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2002/07/owl#Ontology,http://www.w3.org/2000/01/rdf-schema#label,1,1,1,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2002/07/owl#Ontology,http://www.w3.org/2004/02/skos/core#prefLabel,1,1,1,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2002/07/owl#Ontology,http://www.w3.org/2002/07/owl#imports,1,1,1,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2002/07/owl#Ontology,http://purl.org/dc/terms/title,1,1,1,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2002/07/owl#Ontology,http://www.w3.org/2002/07/owl#versionInfo,1,1,1,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2002/07/owl#Ontology,http://publications.europa.eu/ontology/authority/table.version.number,1,1,1,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2002/07/owl#Ontology,http://www.w3.org/2000/01/rdf-schema#comment,1,1,1,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2002/07/owl#Ontology,http://www.w3.org/2002/07/owl#versionIRI,1,1,1,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2002/07/owl#Ontology,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1,1,2,2,2,2,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2002/07/owl#Ontology,http://purl.org/dc/terms/identifier,1,1,1,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2002/07/owl#Ontology,http://publications.europa.eu/ontology/authority/table.id,1,1,1,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2002/07/owl#Ontology,http://publications.europa.eu/ontology/authority/prefLabel,1,1,1,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/authority-code,283,284,283,0,1,0.996479,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#notation,251,284,1457,0,18,5.130282,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/created,284,284,10,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/dateAccepted,281,284,7,0,1,0.989437,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.opengis.net/ont/geosparql#sfWithin,283,284,7,0,2,1.021127,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/euvoc#xlNotation,282,284,3083,0,35,10.85563,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2002/07/owl#versionInfo,284,284,1,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/type,284,284,8,1,5,1.40493,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/euvoc#xlHistoryNote,45,284,96,0,6,0.338028,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,270,284,490,0,5,2.978873,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/euvoc#endDate,31,284,27,0,1,0.109155,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#topConceptOf,232,284,1,0,1,0.816901,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2008/05/skos-xl#prefLabel,284,284,9885,24,43,34.80634,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/ns/org#hasMembership,50,284,313,0,11,1.102113,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#definition,2,284,2,0,1,0.007042,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2008/05/skos-xl#altLabel,283,284,24308,0,248,85.59155,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/euvoc#euroCurrencyAdoptionDate,35,284,11,0,1,0.123239,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/op-code,284,284,284,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/resource/authority/op-code,284,284,284,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/protocol.order,27,284,27,0,1,0.09507,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/start.use,283,284,147,0,1,0.996479,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/language,283,284,165,0,36,1.605634,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/dateSubmitted,281,284,7,0,1,0.989437,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#hiddenLabel,270,284,3178,0,56,11.3662,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://lemon-model.net/lemon#context,284,284,20,1,16,9.514085,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#editorialNote,270,284,587,0,5,2.982394,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#inScheme,284,284,1,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/op-mapped-code,257,284,1224,0,17,4.309859,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/euvoc#legallyBasedOnTreaty,37,284,9,0,1,0.130282,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/end.use,31,284,27,0,1,0.109155,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2008/05/skos-xl#hiddenLabel,270,284,3228,0,56,11.3662,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/deprecated,283,284,2,0,1,0.996479,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#prefLabel,284,284,9833,24,43,34.80634,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/euvoc#status,284,284,3,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/euvoc#xlDefinition,2,284,3,0,2,0.010563,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/isReplacedBy,22,284,33,0,4,0.119718,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#historyNote,45,284,89,0,6,0.338028,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/euvoc#startDate,283,284,147,0,1,0.996479,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,284,284,2,2,2,2,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/replaces,33,284,22,0,2,0.119718,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/euvoc#order,27,284,27,0,1,0.09507,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#broader,52,284,9,0,1,0.183099,http://www.w3.org/2002/07/owl#ObjectProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/elements/1.1/identifier,284,284,284,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/protocol-order,27,284,27,0,1,0.09507,http://www.w3.org/2002/07/owl#DatatypeProperty,
